respid,gender,edu,age,county,occupation
1,1,3,3,3,12
2,2,1,1,46,2
3,1,2,6,11,7
4,1,2,6,31,8
5,2,3,4,55,7
6,2,3,7,56,8
7,2,3,3,56,9
8,1,2,7,31,5
9,1,2,2,46,10
10,2,2,5,3,2
11,1,2,1,42,9
12,2,2,5,50,1
13,2,2,1,31,2
14,1,3,7,42,4
15,1,2,1,3,6
16,1,2,4,18,4
17,1,3,6,15,17
18,2,1,2,18,5
19,2,1,2,40,15
20,2,1,3,33,4
21,2,1,2,50,6
22,2,2,6,32,3
23,2,3,4,40,20
24,2,1,4,3,12
25,2,2,7,31,20
26,2,3,6,40,16
27,1,3,1,46,14
28,2,2,1,42,2
29,2,1,5,39,1
30,1,1,4,40,19
31,2,1,7,40,12
32,2,3,5,3,1
33,2,1,5,33,11
34,1,3,2,3,12
35,1,1,1,50,5
36,2,3,4,15,4
37,2,2,1,42,9
38,1,1,4,31,4
39,2,3,3,18,18
40,1,2,7,33,18
41,1,2,4,34,10
42,2,3,2,50,13
43,1,2,4,3,12
44,1,1,7,3,13
45,2,2,6,32,2
46,1,3,1,33,1
47,1,1,2,15,12
48,1,3,2,40,10
49,2,2,1,32,8
50,2,2,2,15,17
51,1,2,4,46,2
52,1,3,2,33,5
53,2,3,6,11,8
54,1,3,3,55,12
55,2,1,6,11,15
56,2,1,1,39,7
57,2,2,3,3,12
58,2,1,6,50,8
59,1,1,5,32,5
60,1,2,2,42,3
61,1,3,5,18,11
62,1,3,1,33,17
63,1,3,1,46,20
64,1,2,6,15,11
65,1,2,6,56,17
66,2,1,4,50,1
67,2,2,7,33,3
68,2,1,6,3,14
69,2,2,5,11,17
70,1,1,6,15,12
71,1,2,7,18,16
72,2,2,7,50,19
73,1,2,2,42,7
74,2,1,3,32,19
75,2,2,5,31,8
76,2,3,6,3,5
77,2,1,5,15,7
78,1,1,5,31,3
79,2,1,3,56,6
80,2,2,6,39,10
81,2,2,4,55,12
82,2,1,3,39,18
83,1,2,5,15,2
84,1,1,4,34,17
85,2,3,3,31,9
86,2,2,2,31,15
87,2,3,4,11,1
88,2,2,5,40,11
89,1,3,7,32,6
90,1,2,5,46,5
91,2,2,3,42,18
92,1,3,5,46,15
93,1,2,2,34,18
94,2,1,4,50,9
95,1,1,4,40,18
96,2,1,4,46,14
97,1,3,7,40,8
98,2,2,3,56,10
99,1,3,1,34,6
100,1,1,5,56,5
101,2,2,5,42,4
102,2,3,5,39,20
103,2,2,7,34,1
104,1,2,4,15,10
105,1,3,2,42,14
106,2,2,1,32,6
107,1,2,2,34,4
108,1,1,4,56,12
109,1,1,6,42,6
110,2,3,3,55,1
111,1,2,5,11,12
112,1,2,1,31,18
113,2,1,6,11,12
114,2,3,4,39,16
115,2,3,3,33,18
116,1,3,6,55,19
117,2,2,6,3,17
118,2,1,2,33,4
119,1,1,6,42,14
120,2,1,6,56,9
121,2,1,3,50,1
122,2,2,5,32,2
123,2,3,5,32,9
124,1,2,3,56,3
125,1,3,2,15,14
126,2,1,7,46,12
127,2,2,1,32,4
128,2,1,3,15,13
129,1,2,5,34,5
130,1,1,3,50,19
131,1,1,7,50,14
132,1,3,6,3,14
133,2,3,5,46,12
134,1,2,5,32,17
135,1,1,5,11,19
136,1,2,3,18,11
137,1,1,5,56,9
138,1,2,3,3,13
139,2,2,3,32,17
140,1,1,7,42,10
141,2,3,3,11,3
142,2,1,4,46,18
143,1,3,7,32,14
144,2,2,4,3,2
145,2,3,4,40,18
146,1,1,1,56,15
147,1,1,5,40,20
148,1,1,2,50,10
149,1,2,7,39,18
150,1,2,3,46,12
151,2,3,2,33,11
152,2,1,3,50,14
153,1,3,1,34,10
154,2,2,4,34,3
155,2,3,5,3,18
156,1,1,5,18,9
157,1,3,7,40,10
158,1,1,6,40,9
159,1,1,4,33,4
160,1,3,4,55,16
161,1,2,4,15,18
