respid,gender,edu,age,county,occupation
1,1,1,6,56,11
2,1,1,1,15,9
3,1,2,5,42,11
4,2,3,7,42,1
5,2,3,2,33,1
6,1,1,6,11,3
7,2,1,4,32,2
8,2,1,3,15,11
9,1,2,3,32,6
10,1,2,4,39,9
11,2,1,5,42,9
12,2,3,5,42,8
13,1,1,4,34,11
14,1,3,1,11,4
15,2,1,5,15,11
16,2,3,4,46,20
17,1,2,4,3,14
18,1,3,7,34,6
19,2,2,1,42,17
20,1,2,7,40,13
21,1,1,1,18,19
22,1,2,7,55,13
23,2,3,4,56,19
24,1,1,4,40,15
25,1,2,6,32,4
26,2,2,2,42,13
27,1,2,5,18,12
28,2,3,6,34,20
29,1,2,2,50,18
30,1,3,4,39,13
31,1,1,6,33,13
32,1,1,4,55,2
33,1,1,5,46,2
34,1,1,7,40,10
35,2,2,5,11,18
36,2,2,2,50,20
37,2,2,5,31,3
38,2,2,6,40,20
39,2,3,6,15,16
40,1,1,7,33,16
41,2,2,4,31,6
42,2,2,3,3,12
43,2,1,4,18,2
44,2,2,6,46,11
45,2,3,3,34,16
46,1,3,4,31,18
47,1,2,5,42,18
48,1,1,3,11,12
49,1,1,4,39,8
50,2,1,7,39,11
51,1,2,6,31,11
52,1,2,1,33,8
53,2,1,6,18,5
54,2,2,2,50,13
55,1,1,3,33,15
56,2,1,5,15,3
57,2,3,6,15,9
58,1,2,4,40,10
59,1,1,2,42,4
60,1,1,7,40,6
61,1,1,3,32,14
62,2,3,6,34,12
63,2,1,7,56,4
64,2,2,4,3,2
65,2,2,2,31,11
66,1,1,2,50,16
67,1,2,3,40,5
68,2,2,1,15,2
69,1,1,7,50,19
70,2,1,2,56,14
71,2,1,7,15,12
72,2,1,5,39,15
73,1,2,5,31,3
74,2,2,7,56,8
75,1,3,1,15,17
76,1,3,2,18,2
77,1,3,6,55,16
78,1,2,5,42,11
79,2,2,6,39,8
80,1,3,2,34,13
81,2,3,1,32,1
82,1,3,4,56,10
83,1,1,7,46,7
84,2,3,4,34,3
85,1,1,7,50,18
86,1,2,4,39,1
87,1,1,7,31,1
88,2,2,4,56,14
89,2,3,2,34,7
90,1,3,5,50,4
91,1,3,3,55,5
92,2,2,4,42,15
93,2,1,3,32,1
94,1,3,5,39,6
95,2,3,1,33,11
96,1,2,5,46,11
97,2,3,2,3,8
98,1,1,1,39,20
99,2,1,4,42,1
100,1,2,2,32,18
101,1,2,4,18,1
102,1,1,7,32,18
103,1,3,3,31,10
104,2,2,4,55,1
105,2,1,1,56,2
106,1,2,2,11,2
107,1,1,3,56,9
108,2,2,3,55,14
109,1,1,7,34,4
110,1,2,2,39,12
111,2,1,2,33,15
112,1,2,6,34,2
113,2,2,1,18,11
114,2,1,6,31,1
115,2,3,2,50,15
116,1,2,4,11,16
117,2,2,2,42,8
118,2,2,1,32,3
119,1,3,4,50,10
120,1,3,6,18,1
121,2,1,1,39,7
122,2,3,2,11,17
123,2,1,3,34,7
124,1,3,1,31,20
125,1,2,5,42,4
126,2,1,4,15,1
127,1,1,2,15,5
128,1,2,2,33,13
129,2,2,1,42,1
130,2,3,2,55,15
131,1,3,6,34,11
132,1,2,1,40,1
133,1,2,6,33,1
134,2,2,5,33,1
135,2,2,3,42,3
136,2,3,4,31,14
137,1,3,2,18,3
138,2,2,1,31,16
139,2,1,6,3,16
140,1,1,6,34,1
141,2,2,7,46,10
142,1,3,2,15,17
143,2,1,2,32,3
144,1,1,7,46,1
145,1,3,6,40,18
146,1,1,6,34,7
147,1,3,5,39,7
148,2,3,6,33,4
149,2,1,3,55,20
150,2,3,6,39,5
151,2,3,6,18,7
152,1,3,5,50,1
153,1,2,2,50,6
154,1,2,5,46,10
155,2,1,5,18,15
156,1,3,4,18,16
157,1,1,3,55,7
158,2,1,3,42,13
159,1,1,1,46,10
160,2,1,2,55,6
161,1,3,7,56,6
162,1,3,4,32,20
163,1,3,3,33,16
164,2,1,7,33,18
165,1,2,7,50,14
166,1,3,2,34,11
167,2,1,3,32,13
168,1,3,6,50,9
169,2,3,4,15,3
170,2,3,6,56,10
171,2,1,1,50,3
172,2,1,2,33,6
173,1,2,2,31,1
174,2,1,4,55,1
175,2,1,3,55,2
176,1,3,3,33,15
177,1,1,4,55,14
178,1,3,2,56,19
179,2,2,7,3,3
180,1,1,3,32,18
181,2,3,4,55,14
182,1,2,1,33,10
183,1,3,2,18,11
184,2,1,2,39,18
185,1,1,4,39,4
186,2,2,7,34,7
187,2,2,2,31,10
188,2,3,1,31,4
189,2,3,2,39,18
190,1,3,7,31,4
191,1,1,5,32,6
192,2,1,1,18,16
193,1,1,1,55,18
194,1,1,2,32,2
195,2,1,2,15,3
196,2,3,4,32,18
197,2,2,4,46,15
198,1,1,1,46,1
199,1,3,7,50,3
200,1,1,7,56,14
201,1,1,7,33,10
202,2,2,4,18,3
203,2,2,1,33,15
204,2,1,3,40,15
205,1,3,5,42,1
206,1,1,5,55,19
207,1,3,7,15,7
208,1,3,5,39,14
209,1,1,7,50,15
210,1,3,7,39,10
211,2,2,1,32,8
212,2,2,7,40,3
213,1,3,1,42,20
214,2,3,3,55,6
215,1,3,4,11,13
216,2,1,1,32,6
217,2,1,3,56,12
218,2,2,7,50,9
219,2,3,6,11,1
220,2,2,6,3,4
221,2,2,7,39,10
222,2,3,5,33,2
223,1,2,3,15,11
224,2,1,4,39,11
225,2,1,1,55,7
226,1,2,5,11,13
227,1,2,3,32,3
228,1,2,7,34,5
229,1,2,2,3,19
230,1,3,3,11,8
231,1,1,6,33,14
232,2,3,6,34,13
233,2,2,3,18,12
234,2,2,1,56,15
235,1,1,2,39,20
236,1,1,7,31,18
237,2,1,4,42,4
238,2,2,5,11,12
239,2,2,1,18,20
240,1,2,3,11,11
241,2,3,3,39,15
242,1,2,7,34,18
243,2,3,3,18,1
244,1,1,5,32,2
245,2,1,7,33,1
246,1,3,1,42,16
247,2,1,6,34,8
248,2,1,2,40,20
249,2,1,4,42,18
250,2,2,5,18,8
251,2,2,2,46,18
252,2,2,5,32,16
253,2,3,4,15,14
254,2,2,4,31,8
255,1,1,5,50,11
256,2,3,4,15,4
257,2,3,6,42,14
258,1,2,6,33,9
259,1,1,5,18,5
260,2,1,1,3,3
261,2,3,2,31,2
262,1,3,6,46,17
263,1,2,1,42,14
264,1,1,3,31,3
265,1,1,1,40,17
266,2,2,4,3,16
267,1,2,4,33,8
268,2,1,2,11,12
269,2,1,2,42,7
270,1,3,3,32,12
271,2,1,4,31,16
272,2,1,2,3,11
273,1,2,6,31,5
274,2,2,7,56,8
275,2,1,2,40,12
276,2,3,2,55,7
277,1,3,2,50,10
278,2,3,7,15,10
279,1,1,3,18,11
280,1,3,1,34,14
281,2,2,1,15,18
282,2,2,6,56,9
283,1,2,6,46,13
284,1,2,3,3,6
285,1,2,2,50,14
286,2,2,5,3,12
287,1,1,1,55,13
288,1,2,2,18,14
289,1,1,3,55,15
290,1,3,5,31,9
291,1,3,7,33,1
292,2,1,7,50,8
293,1,3,7,33,10
294,2,3,3,33,2
295,1,1,3,3,4
296,1,2,3,46,12
297,2,3,5,46,10
298,1,1,7,42,17
299,2,1,2,39,9
300,2,3,2,39,8
301,2,3,7,46,3
302,2,2,7,31,20
303,2,1,1,40,10
304,1,2,5,11,15
305,2,1,2,50,1
306,2,1,6,39,10
307,1,3,1,18,17
308,1,1,7,18,5
309,2,2,1,18,9
310,2,3,7,11,20
311,1,2,5,18,17
312,1,1,2,32,20
313,2,3,5,33,18
314,1,2,2,3,11
315,2,1,1,15,8
316,2,1,4,32,4
317,2,3,3,50,5
318,2,3,4,11,11
319,1,2,5,55,3
320,1,1,4,42,15
321,1,3,1,40,11
322,2,1,4,3,6
323,1,2,6,55,20
324,2,2,3,32,16
325,1,3,7,3,16
326,1,3,3,56,5
