"","responseid","r31P1","r31P3","r31P5_3","r31_Weight4","c30_bgedu","c30_bgjsc","r28_pcwcc","r31_dmaiw","r31_inruw","c30_bglrs"
"1","425243589817031",2,34,2,0.33744090940867,7,2,4,98,98,4
"2","425243583492031",2,46,3,2.27408638224347,3,1,4,98,98,97
"3","425243583185031",2,50,2,0.302390879652025,7,2,4,4,7,5
"4","425243585395031",2,50,2,0.302390879652025,7,98,5,98,98,2
"5","425243593023031",2,46,2,1.31649110492878,4,98,3,98,98,3
"6","425243588315031",1,50,4,0.715945143472258,6,4,1,98,98,8
"7","425243583047031",2,46,3,0.818331527739312,9,2,3,98,98,2
"8","425243586389031",2,42,3,2.05527268263144,3,1,1,98,98,9
"9","425243589839031",2,3,4,0.696640702872562,7,1,4,4,7,8
"10","425243583494031",2,55,1,0.359083224500281,8,2,5,98,98,5
